value,sector,center_degrees
0.01,1,30
0.01,2,60
0.02,3,90
0.02,4,120
0.03,5,150
0.02,6,180
0.04,7,210
0.14,8,240
0.36,9,270
0.26,10,300
0.07,11,330
0.02,12,360
