value,sector,center_degrees
0.06,1,30
0.06,2,60
0.08,3,90
0.1,4,120
0.11,5,150
0.1,6,180
0.08,7,210
0.08,8,240
0.1,9,270
0.09,10,300
0.07,11,330
0.07,12,360
